Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Management Trainee Data Analyst,Acurus,work from office,Chennai,1-2 Yrs,300000 - 600000,As a Management Trainee in Acurus Solutions you will be involved in all stages of Data...,Data management Data science Process improvement Management Trainee Data collection Data governance Data Analyst Management,23 Days Ago,https:www.naukri.comjob-listings-management-trainee-Data-Analyst-acurus-solutions-1-to-2-years-071222500750
Market Research Analyst,Macro Global,work from office,Trichy,3-8 Yrs,300000 - 600000,Strong proficiency in math web analytics and Business research toolsBachelors degree i...,web analytics presentation written verbal communication Microsoft Office analytical communication Data analysis,30+ Days Ago,https:www.naukri.comjob-listings-market-research-Analyst-macro-global-tiruchirapalli-trichy-3-to-8-years-171122500368
OpeningsBusiness Analyst - Analytics,Savista,work from office,Chennai,3 yrs,300000 - 600000,Experience 3 years,Database management Data analysis Data Analytics Walk-in,1 Day Ago,https:www.naukri.comjob-listings-openings-for-Business-Analyst-analytics-savista-1-to-3-years-281222013385
Power BI,Diverse Lynx,work from office,Chennai,3-4 Yrs,300000 - 600000,At least 3-4 years of experience in Power BI Good knowledge on different Data source co...,Data analysis Data modelling Power BI Data warehouse IT Skills Data modeling Database Data warehousing,30+ Days Ago,https:www.naukri.comjob-listings-power-bi-diverse-lynx-3-to-4-years-190922500238
Power BI,Diverse Lynx,work from office,Chennai,3-6 Yrs,300000 - 600000,Bachelors degree in Supply ChainIT operations Data Engineering or equivalent Must ...,Excel Data analytics Power BI Supply Chain Analysis Tableau SQL KPI IT Skills,30+ Days Ago,https:www.naukri.comjob-listings-power-bi-diverse-lynx-3-to-6-years-140922501759
Process Associate,IGT Solutions,work from office,Chennai,5-10 Yrs,300000 - 600000,Analyzeunderstand Business challenges and recommend appropriate IT solutions and servi...,Application support Data analysis Change management Business analysis Gap analysis Test cases Visio MS Office,3 Days Ago,https:www.naukri.comjob-listings-process-associate-igt-solutions-pvt-ltd-5-to-10-years-271222502076
Product Analyst,Applycup Hiring Solutions Llp,work from office,Chennai,3-5 Yrs,300000 - 600000,Qualification : BE Btech BSC ComputerIT MSC MCA any graduate Demonstrate the a...,Statistical programming SAS Quantitative research Business analyticsProduct design Gap analysis SPSS Gaming,4 Days Ago,https:www.naukri.comjob-listings-product-Analyst-applycup-hiring-solutions-llp-3-to-5-years-261222501912
Program Manager,Kanini Vanporul Systems Llp,work from office,"Chennai, Coimbatore ",2-4 Yrs,300000 - 600000,Validate and monitor implementation of technology solutions to enhance process efficien...,IT Skills Project ManagementProduct Management BPO project management Data analysis SAS Staffing,30+ Days Ago,https:www.naukri.comjob-listings-program-manager-kanini-software-solutions-india-private-limited-noida-pune-coimbatore-bangalore-bengaluru-2-to-4-years-071022501197
Programmer Analyst - RPA GBS MANAGEMENT,Renault,work from office,Chennai,5-6 Yrs,300000 - 600000,Knowledge and experience in development using object-oriented programming Working knowl...,Automation Technical management Usage Excel Programmer Analyst VBA Outsourcing Macros,30+ Days Ago,https:www.naukri.comjob-listings-programmer-Analyst-rpa-gbs-management-renault-india-pvt-ltd-5-to-6-years-221122502994
R&A FAC OE Analyst,Shell,work from office,Chennai,3-5 Yrs,300000 - 600000,This job profile contains generic information and does not describe individual position...,Data analysis Data queries R&A FAC OE Analyst Data Analyst,4 Days Ago,https:www.naukri.comjob-listings-r-a-fac-oe-Analyst-shell-india-markets-private-limited-3-to-5-years-261222907588
R&A FAC OE Analyst,Shell,work from office,Chennai,2-4 Yrs,300000 - 600000,This job profile contains generic information and does not describe individual position...,FAC OE Analysis Data analysis SME ,29 Days Ago,https:www.naukri.comjob-listings-r-a-fac-oe-Analyst-shell-india-markets-private-limited-2-to-4-years-171122909501
R&A Mobility Network & Marketing PAR Professional,Shell,work from office,Chennai,2-5 Yrs,300000 - 600000,This job profile contains generic information and does not describe individual position...,Data analysis Data queries Mobility Networking Marketing,1 Day Ago,https:www.naukri.comjob-listings-r-a-mobility-network-Marketing-par-professional-shell-india-markets-private-limited-2-to-5-years-281222913695
Real Time Analyst,Lumina Datamatics,work from office,Chennai,2-7 Yrs,300000 - 600000,2+ years of relevant experience as Real Time Analyst in a Call Centre Experienced in MS...,Real Time Analyst Excel Workforce management MS Office tools Management Powerpoint Forecasting ,30+ Days Ago,https:www.naukri.comjob-listings-real-time-Analyst-lumina-Datamatics-2-to-7-years-141022500721
Report and Visualization Analyst,20cube Logistics,work from office,Chennai,4-7 Yrs,300000 - 600000,The Report and Visualization Analyst will blend creativity critical thinking and stra...,Supply chain Computer science Manager Quality Assurance Excel RDBMS Analytical Troubleshooting Oracle,30+ Days Ago,https:www.naukri.comjob-listings-report-and-visualization-Analyst-20cube-logistics-4-to-7-years-270622501508
Reporting & Visualization Engineer (Mktg),Logitech G,work from office,Chennai,2-3 Yrs,300000 - 600000,Proficient at SQL wrangling Data and synthesizing large amounts of information 3 year...,Supply chain Social media analytics tableau Data science Analytical IT sales Data visualization Marketing,30+ Days Ago,https:www.naukri.comjob-listings-reporting-visualization-engineer-mktg-logitech-g-2-to-3-years-251122501574
Reporting Analyst,Guardian India,work from office,Chennai,2-6 Yrs,300000 - 600000,Bachelors degree with 2 years of relevant work experience 2 years Workday report writer...,Payroll Data validation Excel Reporting Analyst Agile Scheduling Data analytics Management,9 Days Ago,https:www.naukri.comjob-listings-reporting-Analyst-guardian-india-operations-private-limited-2-to-6-years-211222500799
Research Analyst,Hindustan HR,work from office,Nagercoil,1-2 Yrs,300000 - 600000,1.5- 2 yrs Job Description requirementResearch Analyst in Nagercoil Elig...,Help Desk Customer Service Data analysis customer relationship access controls Telephony support Asset Management Vendor Management,30+ Days Ago,https:www.naukri.comjob-listings-research-Analyst-hindustan-human-resource-solutions-nagercoil-1-to-2-years-090517500731
SAP DI,RCPC,work from office,Chennai,4-6 Yrs,300000 - 600000,Well versed with building custom operators based on custom docker containers.SAP Data I...,SAP DI docker CI CD python SAP Data Intelligence NodeJS QA Data sources,28 Days Ago,https:www.naukri.comjob-listings-sap-di-rcpc-kolkata-mumbai-pune-gurgaon-gurugram-ahmedabad-delhi-ncr-bangalore-bengaluru-4-to-6-years-011222911938
Senior Analyst,Smartlyhr,work from office,Chennai,0-3 Yrs,300000 - 600000,with minimum supervisionEducational Qualification : Masters in EconomicsJob Requirement...,Economics python SAS Sas Analytics,21 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-3yrs-candidate-with-masters-in-economics-smartlyhr-delhi-ncr-0-to-3-years-051122004797
Senior Analyst - Data Management,RCPC,work from office,Chennai,7-10 Yrs,300000 - 600000,You will be aligned with our Insights & Intelligence vertical and help us generate insi...,Pyspark analytics python Database management system Data management multiprocessing artificial intelligence sql,17 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-Data-management-rcpc-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-10-years-131222908316
Senior Analyst - Data Services,RF Managed Services,work from office,Chennai,3-5 Yrs,300000 - 600000,GraduatesPost Graduates in any stream Skill SetCompetencies Required Laterals wit...,Application support ERP Automation Data conversion Managed services Data management MIS Process improvement,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-Data-services-rf-managed-services-india-pvt-ltd-3-to-5-years-170622500449
Senior Business Analyst,Seven Consultancy (HR Solution),work from office,Chennai,2-7 Yrs,300000 - 600000,Problem-solving: Good in problem-solving and ability to bring in new ideas and drive pr...,Relationship management Business Analyst Data science big Data analytics Consulting Relationship Senior Business Analyst power bi,30+ Days Ago,https:www.naukri.comjob-listings-senior-Business-Analyst-seven-consultancy-hr-solution-2-to-7-years-290322500141
Senior Data Analyst,Groupon,work from office,Chennai,2-6 Yrs,300000 - 600000,Bachelors degree in any disciplineTableau preferred3+ years of experience with Data vis...,Data analysis Matplotlib R Data visualization applications UX Pandas A B testing Ggplot2,10 Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-groupon-shared-services-pvt-ltd-2-to-6-years-191222909700
Senior Data Analyst,Yallas Technology Solutions Opc,work from office,Chennai,2-7 Yrs,300000 - 600000,Graduates with 1-7 years of relevant experience preferredB TechMTech Fresher or any ...,SAS SQL Alteryx Power BI Tableau MDX MS Excel Power Bi Dashboards,24 Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-yallas-technology-solutions-opc-kolkata-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-2-to-7-years-061222003699
Senior Data Analyst,sRide,work from office,Chennai,3-8 Yrs,300000 - 600000,3+ years of experience in working as an Analyst inProduct Firms,Data analysisProduct engineering HTML Data Analyst Business intelligence Operations SQL Data extraction,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-sride-carpool-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-3-to-8-years-130622501501
Senior Modeler,SPM Jobs,work from office,Chennai,4-9 Yrs,300000 - 600000,Responsibilities : Development of internal proprietary predictive models in Python and...,Data analysis Operations research PDF Risk analytics Fixed income Application programming Software services Python,30+ Days Ago,https:www.naukri.comjob-listings-senior-modeler-spm-jobs-4-to-9-years-090822501442
Senior Real World Data Analyst,Inspire Careers,work from office,Chennai,3-8 Yrs,300000 - 600000,A bachelors or masters degree in health services research biostatistics pharmaceutica...,Statistical programming Administration Claims SAS Coding Analytical MySQL Clinical trials,30+ Days Ago,https:www.naukri.comjob-listings-senior-real-world-Data-Analyst-inspire-careers-3-to-8-years-220922501873
SQL Database Developer,Kanini Software Solutions,Hybrid,"Chennai, Coimbatore ",4-9 Yrs,300000 - 600000,Experience with System Tables and ViewsYears of Experience : 4 to 8 Yrs,sql azure SQL Development SQL Database Database Design,29 Days Ago,https:www.naukri.comjob-listings-sql-Database-developer-kanini-software-solutions-pune-coimbatore-bangalore-bengaluru-4-to-9-years-011222004741
Sr. Process Data Engineer - PRS,Shell,work from office,Chennai,2-7 Yrs,300000 - 600000,The successful candidate should have a University Degree in Geoscience Reservoir engin...,Data analysis Spotfire python Hydrocarbon Maturation and Annual Reserves Reporting Data Engineering Data management petum engineeringProduction Forecasting,4 Days Ago,https:www.naukri.comjob-listings-sr-process-Data-engineer-prs-shell-india-markets-private-limited-2-to-7-years-261222906070
Sr.Business AnalystBusiness Analyst,Sun Data Tech,work from office,Coimbatore,3-5 Yrs,300000 - 600000,Job :Business Analyst position is in charge of conducting extensive accurate analy...,Good Communication In English VLOOKUP Advanced Excel MIS Reporting U.S client work experience Data analysis communication MIS,22 Days Ago,https:www.naukri.comjob-listings-sr-Business-Analyst-Business-Analyst-sun-Data-tech-coimbatore-3-to-5-years-081222006304
Sr.Executive Assistant - Business Analyst,Data Patterns,work from office,Chennai,7-9 Yrs,300000 - 600000,Able to work independently with minimal supervision experience in MIS using Excel,analytics reporting Data analysis Database design Aerospace MIS Assistant Business Analyst Electronics Data analytics,30+ Days Ago,https:www.naukri.comjob-listings-sr-executive-assistant-Business-Analyst-Data-patterns-i-pvt-ltd-7-to-9-years-120222500107
Tableau Developer,IDP India,work from office,Chennai,3-6 Yrs,300000 - 600000,To succeed in this Data Analyst position this  should have strong analytical skill...,Analytical skills tableau Analytical Programming Data Analyst Data visualization Analytics SQL,30+ Days Ago,https:www.naukri.comjob-listings-tableau-developer-idp-india-3-to-6-years-231122504381
Tableau Developer,IDP,work from office,Chennai,3-6 Yrs,300000 - 600000,To succeed in this Data Analyst position this  should have strong analytical skill...,Analytical skills tableau Analytical Programming Data Analyst Data visualization Analytics SQL,30+ Days Ago,https:www.naukri.comjob-listings-tableau-developer-idp-education-india-pvt-ltd-3-to-6-years-130922501130
Tableau Developer_Coimbatore,Manpower group Services India,work from office,Coimbatore,4-9 Yrs,300000 - 600000,Strong experience in writing SQL and ideal knowledge of AWS Athena and Redshift Data pl...,Tableau Redshift MySQL Microsoft Excel Data Visualization R SQL Python,10 Days Ago,https:www.naukri.comjob-listings-tableau-developer-coimbatore-manpowergroup-services-india-coimbatore-4-to-9-years-201222005699
Tax Specialist,Shell Pvt Ltd,work from office,Chennai,3-8 Yrs,300000 - 600000,Works autonomously within this scope with regular steer required e.g,HP Data protector Representative Management Taxation Supervision Recruitment,20 Days Ago,https:www.naukri.comjob-listings-tax-specialist-shell-pvt-ltd-3-to-8-years-091222502576
Techno Functional Analyst,SPM Jobs,work from office,Chennai,5-7 Yrs,300000 - 600000,Bachelors degree in computer science or related degreeThe Analyst is expected to have g...,Data Model Requirements Gathering Impact Analysis Techno Functional Finance Computer Science Agile Data Analysis,30+ Days Ago,https:www.naukri.comjob-listings-techno-functional-Analyst-spm-jobs-5-to-7-years-070122501815
Tools Specialist,Siemens Gamesa Renewable Energy,work from office,Chennai,3-7 Yrs,300000 - 600000,Perform Data and administrative tasks related to the Learning Qualification Management ...,Training Administration Data analysis Data management Process improvement R Programming power bi Data mining,30+ Days Ago,https:www.naukri.comjob-listings-tools-specialist-siemens-gamesa-3-to-7-years-211122502128
Vba Developer,Trigent Software,work from office,Chennai,4-8 Yrs,300000 - 600000,Should have good communication skillsShould be a vibrant & logical thinkerPreferably 3...,VBA Developer communication VBA Excel Macros ,8 Days Ago,https:www.naukri.comjob-listings-vba-developer-trigent-software-bangalore-bengaluru-mumbai-all-areas-4-to-8-years-221222007337
 Data Analyst ,Sutherland,Permanent Remote,Chennai,4-9 Yrs,600000 - 1000000,Willing to work in US shifts (06:30 PM - 03:30 AM IST) degree or certification in Math...,hr analytics python workforce analytics Data analytics,16 Days Ago,https:www.naukri.comjob-listings-hiring-Data-Analyst-sutherland-4-to-9-years-131222012113
Data Analytics,Panacea Manpower Services,work from office,Chennai,6-11 Yrs,600000 - 1000000,HiringData Analytics Data Analyst with Ha...,Data Analytics SQL Tableau Data Structure PowerBI Quicksight Data Analysis ,21 Days Ago,https:www.naukri.comjob-listings-hiring-for-Data-analytics-mnc-client-hyderabad-location-panacea-manpower-services-hyderabad-secunderabad-6-to-11-years-081222012275
Leading ITESManager ,Enrich And Enlight Business Consulting,work from office,Chennai,3-6 Yrs,600000 - 1000000,Dear Professional Enrich & Enlight is an Executive Search Consulting co specializing i...,SAS Data Analysis Analytics Credit Card Financial Services Fraud Statergey,24 Days Ago,https:www.naukri.comjob-listings-opportunity-with-leading-ites-for-manager-portfolio-credit-wfh-enrich-and-enlight-Business-consulting-hyderabad-secunderabad-bangalore-bengaluru-3-to-6-years-061222005944
Analyst Data Management & Quantitative Analysis,BNY Mellon,work from office,Chennai,0-2 Yrs,600000 - 1000000,Bachelors degree or the equivalent combination of education and experience 2 years expe...,Analyst Data management Analytical Finance Manager Technology Representative Quantitative analysis ,30+ Days Ago,https:www.naukri.comjob-listings-Analyst-Data-management-quantitative-analysis-bny-mellon-international-operations-india-0-to-2-years-201022503159
Analytics and Modeling Analyst,Accenture,work from office,Chennai,3-4 Yrs,600000 - 1000000,Education - BachelorsMasters in Statistics Mathematics Analytics or related discip...,Business process Consulting Market research Outsourcing Secondary research advanced analytics Machine learning Predictive modeling,29 Days Ago,https:www.naukri.comjob-listings-analytics-and-modeling-Analyst-accenture-solutions-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-4-years-011222905903
Assistant Manager - Analytics Data Analysis - SAS SQL Python,Search Light,work from office,Chennai,4-9 Yrs,600000 - 1000000,Perform Data Analysis to develop Data sourcing requirementAny graduate with 4 - 12+ yea...,Python SAS Data Management Big Data Data Analytics Statistics SQL ,30+ Days Ago,https:www.naukri.comjob-listings-assistant-manager-manager-analytics-Data-analysis-sas-sql-python-search-light-hyderabad-secunderabad-pune-gurgaon-gurugram-4-to-9-years-291122912708
Assistant Manager Senior Manager - Credit Risk Strategy,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,600000 - 1000000,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,Credit Risk Strategy R Data analysis SAS risk analytics SQL Python ,4 Days Ago,https:www.naukri.comjob-listings-assistant-manager-senior-manager-credit-risk-strategy-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-261222908112
Azure ( Adf + Adb + Pyspark + Sql ),Rarr Technologies,work from office,"Chennai, Coimbatore ",5-13 Yrs,600000 - 1000000,Design and implement modern Data pipelines to extract clean and process Data in batch ...,Agile SQL Data analysis Data conversion Data management Database design Data security Data governance,30+ Days Ago,https:www.naukri.comjob-listings-azure-adf-adb-pyspark-sql-rarr-technologies-mumbai-hyderabad-secunderabad-new-delhi-pune-coimbatore-5-to-13-years-130822500144
Azure ( ADF + ADB + PYspark + SQL ),Rarr Technologies,work from office,Chennai,5-13 Yrs,600000 - 1000000,Design and implement modern Data pipelines to extract clean and process Data in batch ...,Data analysis Data conversion Data management Database design Data security Agile Data governance Data processing,30+ Days Ago,https:www.naukri.comjob-listings-azure-adf-adb-pyspark-sql-rarr-technologies-mumbai-hyderabad-secunderabad-new-delhi-pune-5-to-13-years-060722502084
Azure Professional,Rarr Technologies,work from office,"Chennai, Coimbatore ",5-13 Yrs,600000 - 1000000,Design and implement modern Data pipelines to extract clean and process Data in batch ...,Agile Data analysis Data conversion Data management Database design Data security Data governance Data processing,30+ Days Ago,https:www.naukri.comjob-listings-azure-professional-rarr-technologies-mumbai-hyderabad-secunderabad-new-delhi-pune-coimbatore-bangalore-bengaluru-5-to-13-years-180822500895
BI Developer  Tableau,Cogniphi Technologies,work from office,Chennai,3-5 Yrs,600000 - 1000000,Good written and oral communication skillsExperienceKnowledge of agile methodology f...,BI written Tableau agile methodology SQL Tableau Server oral communication .Net Core,28 Days Ago,https:www.naukri.comjob-listings-bi-developer-tableau-cogniphi-technologies-trivandrum-thiruvananthapuram-3-to-5-years-011222911511
Business Analyst,Competitive Cart,work from office,Chennai,6-9 Yrs,600000 - 1000000,Location : Remote (Work from home during pandemic) Profile : Business Analyst Experienc...,Project Management Tools SQL Project Management Data analysis Data processing Business analysis uat user stories,30 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-competitive-cart-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-delhi-ncr-6-to-9-years-301122911015
Business Analyst - Corporate Governance Industry - IIMISBMDIFMS,Primo Hiring,work from office,Chennai,1-3 Yrs,600000 - 1000000,Proven experience in eling requirements and testing 1-3 years of experience Previou...,Business Analysis analysis SQL queries Analytical verbal communication written Data analysis process documentation,30 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-corporate-governance-industry-iim-isb-mdi-fms-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-delhi-ncr-bangalore-bengaluru-1-to-3-years-301122910749
Business Analyst - Regulatory Reporting,Rarr Technologies,work from office,Chennai,5-10 Yrs,600000 - 1000000,Should be well versed with BA  and responsibilities like understanding BRD FRD wr...,Analytical skills Regulatory reporting Business Analyst Time management Analytical Scrum Data Analyst Data mapping,30+ Days Ago,https:www.naukri.comjob-listings-Business-Analyst-regulatory-reporting-rarr-technologies-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-5-to-10-years-240922500997
Business Analyst - Salesforce,Adita Solutions,work from office,Chennai,5-10 Yrs,600000 - 1000000,5 years experience in Salesforce (SFDC) PlatformGreat knowledge of Sales Cloud Service...,IT Skills Software Development Cloud Project Management Salesforce BPO project management Business process,30+ Days Ago,https:www.naukri.comjob-listings-Business-Analyst-salesforce-adita-solutions-inc-5-to-10-years-150322501116
Business Analyst NBS & CCUS,Shell,work from office,Chennai,6-8 Yrs,600000 - 1000000,6+ years of experience in Finance (preferably financial analysis planning and manageme...,NBS financial analysis CCUS FAST tool PowerBI financial control Finance MI solutions,29 Days Ago,https:www.naukri.comjob-listings-Business-Analyst-nbs-ccus-shell-india-markets-private-limited-6-to-8-years-161122914736
Business Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Must have strong capabilities in problem solving managing own work diligently thoroug...,Data analysis ANALYTICS skills SAS forecasting Data Analytics Business Analysis,3 Days Ago,https:www.naukri.comjob-listings-Business-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-2-years-261222909067
Business Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Must have strong capabilities in problem solving managing own work diligently thoroug...,Business Analytics Data analysis SAS Neural networks Machine learning Forecasting Analytics ,3 Days Ago,https:www.naukri.comjob-listings-Business-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-2-years-261222908890
Business Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Must have strong capabilities in problem solving managing own work diligently thoroug...,SAS Data Management Statistical Modeling Data Analytics Machine Learning Analytics Business Analysis ,30+ Days Ago,https:www.naukri.comjob-listings-Business-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-2-years-291122913961
Business Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Must have strong capabilities in problem solving managing own work diligently thoroug...,Business Analysis SAS communications skills forecasting problem solving ,17 Days Ago,https:www.naukri.comjob-listings-Business-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-2-years-121222909556
Business Analytics  - KPO,Huquo Consulting Pvt. Ltd,work from office,Chennai,1-2 Yrs,600000 - 1000000,Must have strong capabilities in problem solving managing own work diligently thoroug...,Business Analysis Data analysis SAS communications skills machine learning ,23 Days Ago,https:www.naukri.comjob-listings-Business-analytics--kpo-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-1-to-2-years-071222908369
Business Data Analyst - NETWORK DESIGN,Lennox India Technology Centre (LITC),work from office,Chennai,2-5 Yrs,600000 - 1000000,Any graduation with 4 to 6 years of experience in Network Design in SCM domain Addition...,Network design Business Data Analyst SCM ,30+ Days Ago,https:www.naukri.comjob-listings-Business-Data-Analyst-network-design-lennox-india-technology-centre-private-limited-2-to-5-years-040522500664
Business Intelligence Executive,Saint Gobain,work from office,Chennai,3-5 Yrs,600000 - 1000000,The candidate should display Business understanding and skills in Data analysis Commun...,Business Intelligence Business intelligence tools Data analysis Use Cases Requirement Gathering Business Analysis,1 Day Ago,https:www.naukri.comjob-listings-Business-intelligence-executive-saint-gobain-3-to-5-years-190922001290
CBORC Professional,Varite,work from office,Chennai,5-8 Yrs,600000 - 1000000,Digital Monitoring team supports CBORC (Consumer Business Operation Risk & Control) to ...,Loans Data analysis Manager Internal Audit Operations research Performance management Coding Project management Scheduling,30+ Days Ago,https:www.naukri.comjob-listings-cborc-professional-varite-5-to-8-years-240822501116
Client Implementations Manager,Mad Street Den,work from office,Chennai,4-6 Yrs,600000 - 1000000,Execute client platform onboarding plans based on launch and implementation strategy Ac...,IT Skills Project Management BPO project management Data analysis ERP Excel Coding,30+ Days Ago,https:www.naukri.comjob-listings-client-implementations-manager-mad-street-den-4-to-6-years-271022502260
Data Analyst,Disha Consultants,work from office,Chennai,2-4 Yrs,600000 - 1000000,Should be comfortable with SQLquery building Should have a natural flairplayi...,Data analysis Data validation Data management Data analytics Advanced Excel Data Analyst Data visualization Management,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-disha-consultant-pune-jaipur-bangalore-bengaluru-2-to-4-years-140621501222
Data Analyst,3i Infotech,Hybrid,Chennai,3-6 Yrs,600000 - 1000000,Should have hands on experience in designing and managing the reporting environment inc...,Machine Learning Python Javascript Tableau GIT ETL frameworks XML Qlik,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-3i-infotech-limited-3-to-6-years-121122600074
Data Analyst,BigTapp Analytics Pte Ltd,work from office,Chennai,5-10 Yrs,600000 - 1000000,Education: Bachelor s Degree in Computer Science Mathematics Information Systems or ...,IT Skills Python Data Science Cloud Computer science Marketing analytics Business analytics Analytical,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-bigtapp-analytics-pte-ltd-5-to-10-years-250322500312
Data Analyst - Accounts Payable,Flsmidth,Hybrid,Chennai,9-14 Yrs,600000 - 1000000,4 years of Data Analytics experience 10+ years of experience Good Understanding of Fina...,Power Bi Data,14 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-accounts-payable-power-bi-tool-exp-is-mandatory-fl-smidth-private-limited-9-to-14-years-011122010741
Data Analyst - CRM Platform,Artech infosystem,work from office,Chennai,1-6 Yrs,600000 - 1000000,Bachelors degree or equivalent 1-2 years experience in Data analytics Prior programming...,CRM analytical Data analytics Salesforce communication Advanced SQL Excel SQL,30 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-crm-platform-artech-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-6-years-301122910473
Data Analyst ,Primo Hiring,work from office,Chennai,1-2 Yrs,600000 - 1000000,Knowledge of statistics and experience using statistical packagesanalyzing Dataset...,Data Analysis Data mining XML JavaScript SQL ,2 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-fintech-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-1-to-2-years-281222907443
Data Analyst - Onlinee Commerce,Primo Hiring,work from office,Chennai,3-6 Yrs,600000 - 1000000,Previous experience in Data analysis Knowledge of statistics and experience using stati...,Data analysis metaData SAS Data collection Data Analyst Data analytics SPSS Data mining,2 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-online-ecommerce-primo-hiring-kolkata-mumbai-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-3-to-6-years-281222907511
Data Analyst - Procurement,WEN,work from office,Chennai,4-6 Yrs,600000 - 1000000,Gathering the required Data from the Database team and preparing analysis reportsProfic...,Data analysis Data validation dashboards design procurement operations troubleshooting tableau Dashboards Microsoft Excel SQL,21 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-procurement-wen-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-4-to-6-years-081222911915
Data Analyst - Python Artificial Intelligence,ImindyourBusiness,work from office,Chennai,0-2 Yrs,600000 - 1000000,Candidates must have ability to work from home and also in a position to use their pers...,Python VBA C++ Advanced Excel SQL server Data Science Artificial Intelligence Data Analyst,2 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-python-artificial-intelligence-imindyourBusiness-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-281222906791
Data Analyst - Python Artificial Intelligence,ImindyourBusiness,work from office,Chennai,0-2 Yrs,600000 - 1000000,Candidates must have ability to work from home and also in a position to use their pers...,Python SQL server C++ Advanced Excel VBA Data Science Artificial Intelligence Data Analyst,2 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-python-artificial-intelligence-imindyourBusiness-kolkata-mumbai-hyderabad-secunderabad--ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-281222906763
Data Analyst - Python Artificial Intelligence,ImindyourBusiness,work from office,Chennai,0-2 Yrs,600000 - 1000000,Candidates must have ability to work from home and also in a position to use their pers...,Data Analyst Python SQL server C++ Advanced Excel VBA Data Science Artificial Intelligence,6 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-python-artificial-intelligence-imindyourBusiness-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-0-to-2-years-231222911119
