Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Business Data Analyst - Marketing,Atlas Copco Services s.r.o.,work from office,Chennai,5-6 Yrs,300000 - 600000,Deep experience in extracting cleaning preparing and modeling Data Bachelors degree i...,Business Data Analyst Business analytics Predictive modeling Business development,30+ Days Ago,https:www.naukri.comjob-listings-Business-Data-Analyst-Marketing-atlas-copco-services-s-r-o-5-to-6-years-271022501332
Business Systems Analyst,Ugam,work from office,Coimbatore ,2-5 Yrs,300000 - 600000, Description: Be the key liaison between the client team and the DataOps team. Elic...,IT Skills Quality Assurance Cloud Digital Marketing Data analysis Change management Manager Quality Assurance Direct Marketing,30+ Days Ago,https:www.naukri.comjob-listings-Business-systems-Analyst-ugam-solutions-pvt-ltd-mumbai-pune-coimbatore-bangalore-bengaluru-2-to-5-years-190722500200
Business Systems Analyst,Ugam,work from office,Coimbatore ,2-5 Yrs,300000 - 600000,Key Responsibilities: Interface with the solution transformation lead architect and c...,IT Skills Quality Assurance Cloud Digital Marketing Data analysis Change management Manager Quality Assurance Direct Marketing,30+ Days Ago,https:www.naukri.comjob-listings-Business-systems-Analyst-ugam-solutions-pvt-ltd-mumbai-pune-coimbatore-bangalore-bengaluru-2-to-5-years-190722500178
Clinical Data Analyst,NAVITAS LIFE SCIENCES,work from office,Chennai,2-3 Yrs,300000 - 600000,Leading a team and working independently from SAP with minimum guidance from the Biosta...,SAS Macros SAP SAS clinical development Clinical research Clinical Data Analyst Life sciences Management,30+ Days Ago,https:www.naukri.comjob-listings-clinical-Data-Analyst-navitas-life-science-bangalore-bengaluru-2-to-3-years-240822501456
Clinical Data Analyst,NAVITAS LIFE SCIENCES,work from office,Chennai,3-8 Yrs,300000 - 600000,Leading a team and working independently from SAP with minimum guidance from the Biosta...,SAS Macros SAP clinical development Clinical research Clinical Data Analyst HTML Life sciences Management,30+ Days Ago,https:www.naukri.comjob-listings-clinical-Data-Analyst-navitas-llp-bangalore-bengaluru-3-to-8-years-050722500751
Clinical Data Coordinator IISenior,ICON plc,Hybrid,Chennai,3-6 Yrs,300000 - 600000,Bachelors degree or educational equivalent in clinical biological or mathematical sc...,Clinical Database Clinical Data Management,24 Days Ago,https:www.naukri.comjob-listings-clinical-Data-coordinator-ii-senior-icon-plc-bangalore-bengaluru-trivandrum-thiruvananthapuram-3-to-6-years-061222005546
CP Analyst - Materials Data,Shell,work from office,Chennai,3-5 Yrs,300000 - 600000,Typically:â€¢ Conducts analyses to solve relatively standardized or repetitive informatio...,CP Analysis hp Data protector Data analysis interpersonal communication recruitment Data process,29 Days Ago,https:www.naukri.comjob-listings-cp-Analyst-materials-Data-shell-india-markets-private-limited-3-to-5-years-171122909659
Crypto Currency Trader,Coinsburg Ventures,work from office,Coimbatore,3-8 Yrs,300000 - 600000,Good emotional discipline and growth mindset,Cryptocurrency Trading Digital Asset Management portfolio management,30 Days Ago,https:www.naukri.comjob-listings-crypto-currency-trader-coinsburg-ventures-pvt-ltd-coimbatore-3-to-8-years-291122015917
Data & Report Analyst,Rarr Technologies,work from office,"Chennai, Coimbatore ",5-10 Yrs,300000 - 600000,Candidate should be able to propose required BI Dashboards to the client based on analy...,Power BI Data Warehouse SQL Tableau Reporting Analyst Data reporting Data collection Data analytics,30+ Days Ago,https:www.naukri.comjob-listings-Data-report-Analyst-rarr-technologies-kochi-cochin-mumbai-pune-coimbatore-bangalore-bengaluru-5-to-10-years-201022502945
Data Analyst,Seven Consultancy (HR Solution),work from office,Chennai,1-2 Yrs,300000 - 600000,Assist the Data scientist in development of new analytical tools and methods as and whe...,Data Scientist Big Data Data Mining Hr Data Analyst Analytics Recruitment ,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-seven-consultancy-hr-solution-1-to-2-years-171122500723
